,momentum_baseline,equal_weight,model_walkforward,model_risk_managed,momentum_balanced,momentum_aggressive,buy_hold_SPY
2019-07-12,1.9336488353183323,1.69987816496316,3.0151231021880314,2.1456466230821456,1.6924737194314063,1.934610728717283,1.6679887754794764
2019-07-15,1.9336488353183323,1.69987816496316,3.0151231021880314,2.1456466230821456,1.6924737194314063,1.934610728717283,1.6685433429551881
2019-07-16,1.9336488353183323,1.69987816496316,3.0151231021880314,2.1456466230821456,1.6924737194314063,1.934610728717283,1.663162261580407
2019-07-17,1.9133602684326685,1.6975940332555532,2.9924609776911772,2.13981878859994,1.6835323792591115,1.914312069286269,1.651844409127526
2019-07-18,1.9133602684326685,1.6975940332555532,2.9924609776911772,2.13981878859994,1.6835323792591115,1.914312069286269,1.6578919066628337
2019-07-19,1.9133602684326685,1.6975940332555532,2.9924609776911772,2.13981878859994,1.6835323792591115,1.914312069286269,1.648682906921133
2019-07-22,1.9133602684326685,1.6975940332555532,2.9924609776911772,2.13981878859994,1.6835323792591115,1.914312069286269,1.6527317170886648
2019-07-23,1.9133602684326685,1.6975940332555532,2.9924609776911772,2.13981878859994,1.6835323792591115,1.914312069286269,1.664549334902457
2019-07-24,1.9402271104977074,1.7235763367171308,3.122648589865062,2.2122480793841333,1.718796578462034,1.941192276258917,1.672371448360042
2019-07-25,1.9402271104977074,1.7235763367171308,3.122648589865062,2.2122480793841333,1.718796578462034,1.941192276258917,1.6643828711407762
2019-07-26,1.9402271104977074,1.7235763367171308,3.122648589865062,2.2122480793841333,1.718796578462034,1.941192276258917,1.6755346339078452
2019-07-29,1.9402271104977074,1.7235763367171308,3.122648589865062,2.2122480793841333,1.718796578462034,1.941192276258917,1.6724834840827911
2019-07-30,1.9402271104977074,1.7235763367171308,3.122648589865062,2.2122480793841333,1.718796578462034,1.941192276258917,1.6683774403073108
2019-07-31,1.9093216999997777,1.7031223125282628,3.1180689387807576,2.2224693454769424,1.6913704252838058,1.9102714918679584,1.650124595320049
2019-08-01,1.9093216999997777,1.7031223125282628,3.1180689387807576,2.2224693454769424,1.6913704252838058,1.9102714918679584,1.635755218966245
2019-08-02,1.9093216999997777,1.7031223125282628,3.1180689387807576,2.2224693454769424,1.6913704252838058,1.9102714918679584,1.6234389580191486
2019-08-05,1.9093216999997777,1.7031223125282628,3.1180689387807576,2.2224693454769424,1.6913704252838058,1.9102714918679584,1.5746173811733974
2019-08-06,1.9093216999997777,1.7031223125282628,3.1180689387807576,2.2224693454769424,1.6913704252838058,1.9102714918679584,1.5966973963758408
2019-08-07,1.94212029714513,1.6486734403823906,2.896046924381915,2.079402500815936,1.7216756988995687,1.9430864046718275,1.5976413768311248
2019-08-08,1.94212029714513,1.6486734403823906,2.896046924381915,2.079402500815936,1.7216756988995687,1.9430864046718275,1.628987064269414
2019-08-09,1.94212029714513,1.6486734403823906,2.896046924381915,2.079402500815936,1.7216756988995687,1.9430864046718275,1.6178912258447522
2019-08-12,1.94212029714513,1.6486734403823906,2.896046924381915,2.079402500815936,1.7216756988995687,1.9430864046718275,1.598196131344771
2019-08-13,1.94212029714513,1.6486734403823906,2.896046924381915,2.079402500815936,1.7216756988995687,1.9430864046718275,1.6230506672671832
2019-08-14,1.9257288298501531,1.620607835309082,2.724081923111407,2.038059728981777,1.7021064101138894,1.9266867834432604,1.575061035153967
2019-08-15,1.9257288298501531,1.620607835309082,2.724081923111407,2.038059728981777,1.7021064101138894,1.9266867834432604,1.5792220680821822
2019-08-16,1.9257288298501531,1.620607835309082,2.724081923111407,2.038059728981777,1.7021064101138894,1.9266867834432604,1.6025234409967326
2019-08-19,1.9257288298501531,1.620607835309082,2.724081923111407,2.038059728981777,1.7021064101138894,1.9266867834432604,1.6218298706688794
2019-08-20,1.9257288298501531,1.620607835309082,2.724081923111407,2.038059728981777,1.7021064101138894,1.9266867834432604,1.6094026962266406
2019-08-21,2.002141970851477,1.6699178787335398,2.747666435619828,2.0603665190303313,1.7568698909746518,2.0031379361531116,1.6224960997914715
2019-08-22,2.002141970851477,1.6699178787335398,2.747666435619828,2.0603665190303313,1.7568698909746518,2.0031379361531116,1.6219968955443635
2019-08-23,2.002141970851477,1.6699178787335398,2.747666435619828,2.0603665190303313,1.7568698909746518,2.0031379361531116,1.5803315771094746
2019-08-26,2.002141970851477,1.6699178787335398,2.747666435619828,2.0603665190303313,1.7568698909746518,2.0031379361531116,1.5978074665169366
2019-08-27,2.002141970851477,1.6699178787335398,2.747666435619828,2.0603665190303313,1.7568698909746518,2.0031379361531116,1.5915387031051478
2019-08-28,1.9745983903998738,1.6456602314684048,2.6533586153324085,2.023780295485412,1.742388588588195,1.9755806541504637,1.6027456420628863
2019-08-29,1.9745983903998738,1.6456602314684048,2.6533586153324085,2.023780295485412,1.742388588588195,1.9755806541504637,1.6232169439909294
2019-08-30,1.9745983903998738,1.6456602314684048,2.6533586153324085,2.023780295485412,1.742388588588195,1.9755806541504637,1.6224960997914715
2019-09-03,1.9745983903998738,1.6456602314684048,2.6533586153324085,2.023780295485412,1.742388588588195,1.9755806541504637,1.6130091616791442
2019-09-04,1.9745983903998738,1.6456602314684048,2.6533586153324085,2.023780295485412,1.742388588588195,1.9755806541504637,1.6313175569329446
2019-09-05,2.0268316921252105,1.699841437804327,2.8143640080340355,2.104977249563174,1.775298015355879,2.027839939325958,1.6522886242218988
2019-09-06,2.0268316921252105,1.699841437804327,2.8143640080340355,2.104977249563174,1.775298015355879,2.027839939325958,1.6535649710867408
2019-09-09,2.0268316921252105,1.699841437804327,2.8143640080340355,2.104977249563174,1.775298015355879,2.027839939325958,1.6543965417434068
2019-09-10,2.0268316921252105,1.699841437804327,2.8143640080340355,2.104977249563174,1.775298015355879,2.027839939325958,1.6540086250673103
2019-09-11,2.0268316921252105,1.699841437804327,2.8143640080340355,2.104977249563174,1.775298015355879,2.027839939325958,1.6657701315007607
2019-09-12,2.0026917645511086,1.7251986374337454,2.9308259474647684,2.149837528935976,1.7647272760156913,2.0036880033475586,1.6715395036275071
